model,accuracy,macro_f1
logreg,0.517389854991944,0.29601811532139
knn,0.7163453525195844,0.24241814254245958
svm_rbf,0.4446080337796544,0.23020511357504508
rf,0.7177620978943274,0.22323637508019772
